route,bird,flight,date,start_time,rel_lat,rel_lon,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,precipitation,shortwave_radiation,surface_pressure
R2,C_A43,02,2011-05-13,12:03:05,51.861,-1.24019,100,99,0,21,12.5,224,31.3,14.5,0.0,477.0,1011.8
R2,C_A43,03,2011-05-16,13:30:53,51.86103,-1.24024,88,5,40,84,21.1,261,46.1,15.8,0.0,560.0,1014.8
R2,C_A43,04,2011-05-21,11:17:36,51.86105,-1.24003,92,90,0,5,15.9,213,38.2,14.9,0.0,302.0,1011.6
R2,C_A43,05,2011-05-31,13:56:05,51.86107,-1.24026,44,17,41,0,16.3,311,40.3,13.4,0.1,727.0,1012.6
R2,C_A43,06,2011-06-08,13:01:30,51.86102,-1.24025,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_A47,01,2011-05-09,12:05:05,51.86096,-1.24023,52,27,35,2,20.6,184,46.8,16.0,0.2,552.0,1012.3
R2,C_A47,02,2011-05-13,13:04:34,51.86088,-1.24026,100,100,8,28,14.8,219,33.5,14.7,0.0,392.0,1011.4
R2,C_A47,03,2011-05-16,12:09:41,51.86109,-1.24042,100,35,98,97,21.6,267,42.1,15.0,0.0,473.0,1015.2
R2,C_A47,04,2011-05-21,09:30:53,51.86103,-1.24029,65,65,0,0,17.2,209,31.7,13.1,0.0,403.0,1012.6
R2,C_A47,05,2011-05-31,13:23:35,51.86093,-1.2403,44,17,41,0,16.3,311,40.3,13.4,0.1,727.0,1012.6
R2,C_A47,06,2011-06-08,12:55:28,51.861,-1.24023,62,57,21,0,19.6,221,49.0,14.5,0.2,606.0,995.8
R2,C_D00,01,2011-05-09,11:35:58,51.86087,-1.24017,28,8,22,0,17.7,184,43.6,15.6,0.1,602.0,1012.4
R2,C_D00,02,2011-05-13,11:52:24,51.86089,-1.24025,96,90,0,46,11.1,234,30.2,14.1,0.0,648.0,1012.4
R2,C_D00,03,2011-05-16,12:59:23,51.86096,-1.24028,100,35,98,97,21.6,267,42.1,15.0,0.0,473.0,1015.2
R2,C_D00,04,2011-05-21,09:50:05,51.86106,-1.24023,65,65,0,0,17.2,209,31.7,13.1,0.0,403.0,1012.6
R2,C_D00,05,2011-05-31,11:54:16,51.86104,-1.24031,24,14,19,0,17.8,312,40.7,11.9,0.0,643.0,1011.3
R2,C_D00,06,2011-06-08,13:08:06,51.86125,-1.24004,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_D01,01,2011-05-09,11:44:24,51.86088,-1.2403,28,8,22,0,17.7,184,43.6,15.6,0.1,602.0,1012.4
R2,C_D01,02,2011-05-13,12:33:24,51.86091,-1.24028,100,99,0,21,12.5,224,31.3,14.5,0.0,477.0,1011.8
R2,C_D01,03,2011-05-16,12:50:35,51.86103,-1.2403,100,35,98,97,21.6,267,42.1,15.0,0.0,473.0,1015.2
R2,C_D01,04,2011-05-21,11:10:35,51.86108,-1.24025,92,90,0,5,15.9,213,38.2,14.9,0.0,302.0,1011.6
R2,C_D01,05,2011-05-31,12:11:16,51.86106,-1.24026,41,26,38,0,17.3,312,41.0,12.6,0.0,637.0,1012.1
R2,C_D01,06,2011-06-08,13:32:05,51.86092,-1.24033,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_D08,01,2011-05-09,11:52:50,51.86091,-1.24025,28,8,22,0,17.7,184,43.6,15.6,0.1,602.0,1012.4
R2,C_D08,02,2011-05-13,12:46:06,51.86091,-1.24017,100,99,0,21,12.5,224,31.3,14.5,0.0,477.0,1011.8
R2,C_D08,03,2011-05-16,11:05:59,51.86103,-1.24027,100,77,83,100,22.7,271,45.0,14.3,0.0,474.0,1015.4
R2,C_D08,04,2011-05-21,10:07:36,51.86122,-1.24017,99,98,0,0,19.1,216,38.2,14.5,0.0,467.0,1012.0
R2,C_D08,05,2011-05-31,13:54:00,51.86138,-1.23989,44,17,41,0,16.3,311,40.3,13.4,0.1,727.0,1012.6
R2,C_D08,06,2011-06-08,13:38:34,51.86085,-1.24036,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_D10,01,2011-05-09,13:00:23,51.86106,-1.24025,45,7,42,6,23.2,187,51.5,16.5,0.4,694.0,1012.1
R2,C_D10,02,2011-05-13,13:23:35,51.86093,-1.24025,100,100,8,28,14.8,219,33.5,14.7,0.0,392.0,1011.4
R2,C_D10,03,2011-05-16,10:42:51,51.86099,-1.24032,100,47,51,99,23.1,274,44.6,13.4,0.0,354.0,1015.4
R2,C_D10,04,2011-05-21,10:47:06,51.86105,-1.24023,99,98,0,0,19.1,216,38.2,14.5,0.0,467.0,1012.0
R2,C_D10,05,2011-05-31,12:27:24,51.86099,-1.24055,41,26,38,0,17.3,312,41.0,12.6,0.0,637.0,1012.1
R2,C_D10,06,2011-06-08,13:25:36,51.86142,-1.24002,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_D15,01,2011-05-09,12:24:05,51.86102,-1.24021,52,27,35,2,20.6,184,46.8,16.0,0.2,552.0,1012.3
R2,C_D15,02,2011-05-13,12:52:54,51.86084,-1.24031,100,99,0,21,12.5,224,31.3,14.5,0.0,477.0,1011.8
